Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Time,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Retweet_or_not,Retweet_Original_Tweet_Content,Retweet_Original_Tweet_Poster,Retweet_Original_Tweet_Time,Retweet_Original_Tweet_PosterID
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Iamchizzypee/status/1641578540452700160,,https://twitter.com/Iamchizzypee,1680217797000,2023-03-30 23:9:57,001 for a reason it all feels like a new year Eve #Timelessoutnow #TimelessAlbum,https://pbs.twimg.com/ext_tw_video_thumb/1641578429588856834/pu/img/ggqj_EHa-G-wkx0C.jpg,32,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/flowzpam/status/1641578591375728649,,https://twitter.com/flowzpam,1680217809000,2023-03-30 23:10:9,"While we're here, dash my art 1 retweet abeg ",https://pbs.twimg.com/media/FsgPAdjWwAAvg0I?format=jpg&name=360x360,232,72,5,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/itsSh0la/status/1641578594857107458,,https://twitter.com/itsSh0la,1680217810000,2023-03-30 23:10:10,Thanks for feeding us with Timeless,null,400,19,4,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Engr_sont/status/1641579029311438848,,https://twitter.com/Engr_sont,1680217914000,2023-03-30 23:11:54,Timeless ,null,10,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/tobydeyforyou/status/1641579164405841922,,https://twitter.com/tobydeyforyou,1680217946000,2023-03-30 23:12:26,001 ,null,14,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/sultan_afroboy/status/1641579346409279491,,https://twitter.com/sultan_afroboy,1680217989000,2023-03-30 23:13:9,"Y’all should pls listen to this 
@davido
",null,11,1,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Johny_Coder/status/1641579357574508546,,https://twitter.com/Johny_Coder,1680217992000,2023-03-30 23:13:12,See me here busy refreshing Apple Music basically every seconds ,null,54,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/diw0n/status/1641579359759728643,,https://twitter.com/diw0n,1680217993000,2023-03-30 23:13:13,Timeless graphics by me ,null,45,3,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Crhedrys/status/1641579452734795776,,https://twitter.com/Crhedrys,1680218015000,2023-03-30 23:13:35,Welcome back! ,null,116,1,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/louisvuittonobo/status/1641579874027536387,,https://twitter.com/louisvuittonobo,1680218115000,2023-03-30 23:15:15,"You are the greatest of them all…Timeless album is putting the whole of Africa on the map  Thanks for this great album 

#TimelessAlbum

http://davido.Ink.to/timeless",https://pbs.twimg.com/media/FsgQLonWwAAQszJ?format=jpg&name=small,24,11,3,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/unitedtopboy/status/1641580072128659458,,https://twitter.com/unitedtopboy,1680218162000,2023-03-30 23:16:2,"This is for the Real wizkid Topfans Kindly dm to get yours. Kindly retweet till 
@wizkidayo
 sees it .",https://pbs.twimg.com/media/FsgQW1-XoAAyWdV?format=jpg&name=360x360,6,1,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/midonations/status/1641580178122973185,,https://twitter.com/midonations,1680218188000,2023-03-30 23:16:28,Ori ade ,null,7,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/dreezthekidd/status/1641580795163713540,,https://twitter.com/dreezthekidd,1680218335000,2023-03-30 23:18:55,,null,13,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/iiampsticks/status/1641578727090925570,,https://twitter.com/iiampsticks,1680217842000,2023-03-30 23:10:42,I will eat timeless as breakfast lunch and dinner ,https://pbs.twimg.com/media/FsgPJbDXsAA6TD5?format=jpg&name=small,6,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Talk2clemzy/status/1641578863602933760,,https://twitter.com/Talk2clemzy,1680217874000,2023-03-30 23:11:14,"@myaccessbank
 I've sent my account by DM, why won't you reply and reverse my money since March 6th? 
@cenbank
",null,1,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Sampizy1/status/1641578871668502529,,https://twitter.com/Sampizy1,1680217876000,2023-03-30 23:11:16,,null,,,1,Yes,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/andrewog017/status/1641581141974036481,,https://twitter.com/andrewog017,1680218418000,2023-03-30 23:20:18,Love you FL,null,430,20,6,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/lifeofolaa/status/1641581855718735872,,https://twitter.com/lifeofolaa,1680218588000,2023-03-30 23:23:8,"LISTEN TO ME DAVIDO, YOU ARE THE GREATEST AFROBEATS ARTISTE EVER !!!",null,59,5,4,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/mufasachas/status/1641582461707603969,,https://twitter.com/mufasachas,1680218732000,2023-03-30 23:25:32,"Congratulations 
@davido
 ",null,,,,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Krystalstrings/status/1641582829833265156,,https://twitter.com/Krystalstrings,1680218820000,2023-03-30 23:27:0,"See the way I dey shout, now vigilante dun come bang out gate nevertheless you created magic Over Dem",null,2,,1,No,,,,
Post,,https://twitter.com/davido/status/1641577352453844992,https://twitter.com/Dipolygabana/status/1641582948271915009,,https://twitter.com/Dipolygabana,1680218848000,2023-03-30 23:27:28,davido your album saved my life ,https://pbs.twimg.com/media/FsgS_TKWcAA82it?format=jpg&name=small,27,1,1,No,,,,
