,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Type,Sentiment
385,https://twitter.com/halseyvibes1/status/1215732516340031493,https://twitter.com/halseyvibes1,2020-01-10 20:29:53,ready whole album taking first back college days,,,,Halsey,[],halseyvibes1,post-release,Positive
386,https://twitter.com/bence2005/status/1215732516595929088,https://twitter.com/bence2005,2020-01-10 20:29:53,sign already thousands copies manic available pre order via website,,,,Halsey,[],bence2005,post-release,Neutral
387,https://twitter.com/roomforletters/status/1215732522509832192,https://twitter.com/roomforletters,2020-01-10 20:29:55,manic week even believe,,,,Halsey,[],roomforletters,post-release,Neutral
388,https://twitter.com/JC_Julia521/status/1215732524179062784,https://twitter.com/JC_Julia521,2020-01-10 20:29:55,la release party,,,,Halsey,[],JC_Julia521,post-release,Positive
389,https://twitter.com/jassbabe/status/1215732527945723908,https://twitter.com/jassbabe,2020-01-10 20:29:56,cannot wait,,,,Halsey,[],jassbabe,post-release,Neutral
390,https://twitter.com/aloepilled/status/1215732528209854464,https://twitter.com/aloepilled,2020-01-10 20:29:56,already sad,,,,Halsey,[],aloepilled,post-release,Negative
391,https://twitter.com/lameboy17_/status/1215732528348311557,https://twitter.com/lameboy17_,2020-01-10 20:29:56,thank,,,,Halsey,[],lameboy17_,post-release,Positive
392,https://twitter.com/luffywachin/status/1215732530319675392,https://twitter.com/luffywachin,2020-01-10 20:29:57,babe love,,,,Halsey,[],luffywachin,post-release,Positive
393,https://twitter.com/castleonfiree/status/1215732532576235520,https://twitter.com/castleonfiree,2020-01-10 20:29:57,done loved,,,,Halsey,[],castleonfiree,post-release,Positive
394,https://twitter.com/Sapphire_457/status/1215732535700922368,https://twitter.com/Sapphire_457,2020-01-10 20:29:58,pumped love ya,,,,Halsey,[],Sapphire_457,post-release,Positive
395,https://twitter.com/17MINUTESX/status/1215732536715943937,https://twitter.com/17MINUTESX,2020-01-10 20:29:58,one week,,,,Halsey,[],17MINUTESX,post-release,Neutral
396,https://twitter.com/ItsSammiSmith/status/1215732537005395969,https://twitter.com/ItsSammiSmith,2020-01-10 20:29:58,hi wobot,,,,Halsey,[],ItsSammiSmith,post-release,Neutral
397,https://twitter.com/ManicinBadlands/status/1215738327846084608,https://twitter.com/ManicinBadlands,2020-01-10 20:52:59,oh listened like million times lol,2.0,,,Halsey,[],ManicinBadlands,post-release,Positive
398,https://twitter.com/savccook/status/1215738967682953218,https://twitter.com/savccook,2020-01-10 20:55:31,text last night almost ended relationship jokes,1.0,,,Halsey,['#jokes'],savccook,post-release,Positive
399,https://twitter.com/deni_rivera/status/1215745350759276545,https://twitter.com/deni_rivera,2020-01-10 21:20:53,queen everything cannot wait see madrid babe,1.0,,,Halsey,[],deni_rivera,post-release,Neutral
400,https://twitter.com/iamsimonadler/status/1215747240381353990,https://twitter.com/iamsimonadler,2020-01-10 21:28:24,fucking stoked,1.0,,,Halsey,[],iamsimonadler,post-release,Neutral
401,https://twitter.com/Adruchiss/status/1215747987282038787,https://twitter.com/Adruchiss,2020-01-10 21:31:22,te amo,1.0,,,Halsey,[],Adruchiss,post-release,Neutral
402,https://twitter.com/theIastdynasty/status/1215748355806179329,https://twitter.com/theIastdynasty,2020-01-10 21:32:50,loud,1.0,,,Halsey,[],theIastdynasty,post-release,Neutral
403,https://twitter.com/givemerope/status/1215765600787664897,https://twitter.com/givemerope,2020-01-10 22:41:21,remember january felt like lifetime away yeah,1.0,,,Halsey,[],givemerope,post-release,Positive
404,https://twitter.com/ParkHannah14/status/1215779641937530887,https://twitter.com/ParkHannah14,2020-01-10 23:37:9,bts watching halseys music videos halsey bts twt bts halsey,1.0,,,Halsey,"['#bts', '#halsey']",ParkHannah14,post-release,Neutral
405,https://twitter.com/MylesVoodoo/status/1216019139073990661,https://twitter.com/MylesVoodoo,2020-01-11 15:28:49,sad number one day long angel told go number one hey fill like good best world wow yippee yippee yippee sad happy lol lol love voodoox,1.0,,1.0,Halsey,[],MylesVoodoo,post-release,Positive
406,https://twitter.com/astroswiftie/status/1215732544873713664,https://twitter.com/astroswiftie,2020-01-10 20:30:0,ye haw,,,,Halsey,[],astroswiftie,post-release,Neutral
407,https://twitter.com/kihyunoi/status/1215732560208134144,https://twitter.com/kihyunoi,2020-01-10 20:30:4,excited,,,,Halsey,[],kihyunoi,post-release,Positive
408,https://twitter.com/blancadontcry/status/1215732564780036097,https://twitter.com/blancadontcry,2020-01-10 20:30:5,best song ever released keep saying every song release,,,,Halsey,[],blancadontcry,post-release,Positive
409,https://twitter.com/3am_darling/status/1215732574883966977,https://twitter.com/3am_darling,2020-01-10 20:30:7,song favorite,,,,Halsey,[],3am_darling,post-release,Positive
410,https://twitter.com/paigeaIIison/status/1215732576943509510,https://twitter.com/paigeaIIison,2020-01-10 20:30:8,r going come cairo get exclusive listening party please thank,,,,Halsey,[],paigeaIIison,post-release,Positive
411,https://twitter.com/broknteeth/status/1215732583717376000,https://twitter.com/broknteeth,2020-01-10 20:30:9,ready,,,,Halsey,[],broknteeth,post-release,Positive
412,https://twitter.com/getawaycarmen/status/1215732591971774469,https://twitter.com/getawaycarmen,2020-01-10 20:30:11,one week,,,,Halsey,[],getawaycarmen,post-release,Neutral
413,https://twitter.com/hurricanemrtina/status/1215732612796502016,https://twitter.com/hurricanemrtina,2020-01-10 20:30:16,love,,,,Halsey,[],hurricanemrtina,post-release,Positive
414,https://twitter.com/pricesandvices/status/1215732622036557825,https://twitter.com/pricesandvices,2020-01-10 20:30:18,played much others day,,,,Halsey,[],pricesandvices,post-release,Positive
415,https://twitter.com/acquainthalsey/status/1215732637769371653,https://twitter.com/acquainthalsey,2020-01-10 20:30:22,lyrics queen,,,,Halsey,[],acquainthalsey,post-release,Neutral
416,https://twitter.com/blueflake8/status/1215732645713317889,https://twitter.com/blueflake8,2020-01-10 20:30:24,cannot wait happy today excitement,,,,Halsey,[],blueflake8,post-release,Positive
417,https://twitter.com/younggodn/status/1215732648452284417,https://twitter.com/younggodn,2020-01-10 20:30:25,literally song listened today,,,,Halsey,[],younggodn,post-release,Neutral
418,https://twitter.com/stepyoutake/status/1215732652499775488,https://twitter.com/stepyoutake,2020-01-10 20:30:26,close,,,,Halsey,[],stepyoutake,post-release,Neutral
419,https://twitter.com/dishakk_/status/1215732653099560965,https://twitter.com/dishakk_,2020-01-10 20:30:26,proud,,,,Halsey,[],dishakk_,post-release,Positive
420,https://twitter.com/krewangelus/status/1215732655368523776,https://twitter.com/krewangelus,2020-01-10 20:30:26,one fucking week,,,,Halsey,[],krewangelus,post-release,Neutral
421,https://twitter.com/Dope_Dev420/status/1215732656345763840,https://twitter.com/Dope_Dev420,2020-01-10 20:30:27,loved killed boss,,,,Halsey,[],Dope_Dev420,post-release,Negative
422,https://twitter.com/AmandaAshPlease/status/1215732663140724743,https://twitter.com/AmandaAshPlease,2020-01-10 20:30:28,iconic shania looks sneaking,,,,Halsey,[],AmandaAshPlease,post-release,Neutral
423,https://twitter.com/halseycinema/status/1215732670581231616,https://twitter.com/halseycinema,2020-01-10 20:30:30,baby,,,,Halsey,[],halseycinema,post-release,Neutral
424,https://twitter.com/wildflowerines/status/1215732675715248128,https://twitter.com/wildflowerines,2020-01-10 20:30:31,absolutely beautiful love,,,,Halsey,[],wildflowerines,post-release,Positive
425,https://twitter.com/vintecarneiro/status/1215732678915436544,https://twitter.com/vintecarneiro,2020-01-10 20:30:32,happy one week,,,,Halsey,[],vintecarneiro,post-release,Positive
426,https://twitter.com/J00NSBODYROLLS/status/1215732691661922322,https://twitter.com/J00NSBODYROLLS,2020-01-10 20:30:35,bopp,,,,Halsey,[],J00NSBODYROLLS,post-release,Neutral
427,https://twitter.com/THEOUTSIDEVIBES/status/1215732697286561792,https://twitter.com/THEOUTSIDEVIBES,2020-01-10 20:30:36,listen last night,,,,Halsey,[],THEOUTSIDEVIBES,post-release,Neutral
428,https://twitter.com/argentaeheart/status/1215732697441673218,https://twitter.com/argentaeheart,2020-01-10 20:30:36,one week ready,,,,Halsey,[],argentaeheart,post-release,Positive
429,https://twitter.com/liamsmymoon/status/1215732698637119489,https://twitter.com/liamsmymoon,2020-01-10 20:30:37,one week drop tomorrow dude,,,,Halsey,[],liamsmymoon,post-release,Negative
430,https://twitter.com/cruelxafterglow/status/1215732699878633483,https://twitter.com/cruelxafterglow,2020-01-10 20:30:37,good skip till next friday please,,,,Halsey,[],cruelxafterglow,post-release,Positive
431,https://twitter.com/royaleparx/status/1215732711748440064,https://twitter.com/royaleparx,2020-01-10 20:30:40,excited album,,,,Halsey,[],royaleparx,post-release,Positive
432,https://twitter.com/yourvintagetee/status/1215732732757782530,https://twitter.com/yourvintagetee,2020-01-10 20:30:45,week week week,,,,Halsey,[],yourvintagetee,post-release,Neutral
433,https://twitter.com/loverofminebae/status/1215732746917699584,https://twitter.com/loverofminebae,2020-01-10 20:30:48,loved ready whole thing,,,,Halsey,[],loverofminebae,post-release,Positive
434,https://twitter.com/stranger929_/status/1215732747144192001,https://twitter.com/stranger929_,2020-01-10 20:30:48,recently babe,,,,Halsey,[],stranger929_,post-release,Neutral
435,https://twitter.com/vminmoonlight/status/1215732747173605376,https://twitter.com/vminmoonlight,2020-01-10 20:30:48,way thought similar sound nightmare saw walking car knock unexpected cool,,,,Halsey,[],vminmoonlight,post-release,Positive
436,https://twitter.com/alexbadio/status/1215732748079386624,https://twitter.com/alexbadio,2020-01-10 20:30:49,bih please wish luck la party draw,,,,Halsey,[],alexbadio,post-release,Positive
437,https://twitter.com/rhiannonmcgx/status/1215732770330284038,https://twitter.com/rhiannonmcgx,2020-01-10 20:30:54,love baby proud one,,,,Halsey,[],rhiannonmcgx,post-release,Positive
438,https://twitter.com/stepyoutake/status/1215732773375422468,https://twitter.com/stepyoutake,2020-01-10 20:30:55,repeat day proud,,,,Halsey,[],stepyoutake,post-release,Positive
439,https://twitter.com/SoItGhosts_/status/1215732780291760129,https://twitter.com/SoItGhosts_,2020-01-10 20:30:56,excited manic,,,,Halsey,[],SoItGhosts_,post-release,Positive
440,https://twitter.com/acquainthalsey/status/1215732795567460352,https://twitter.com/acquainthalsey,2020-01-10 20:31:0,proud person become,,,,Halsey,[],acquainthalsey,post-release,Positive
441,https://twitter.com/AnaTiutiu/status/1215732806619299840,https://twitter.com/AnaTiutiu,2020-01-10 20:31:2,love much sweetie proud,,,,Halsey,[],AnaTiutiu,post-release,Positive
442,https://twitter.com/NicolasG38/status/1215732807378464768,https://twitter.com/NicolasG38,2020-01-10 20:31:3,thank everything us amazing make fucking happy love,,,,Halsey,[],NicolasG38,post-release,Positive
443,https://twitter.com/stsgcist/status/1215732840735875072,https://twitter.com/stsgcist,2020-01-10 20:31:11,cannot wait,,,,Halsey,[],stsgcist,post-release,Neutral
444,https://twitter.com/lovelyliability/status/1215732850701373441,https://twitter.com/lovelyliability,2020-01-10 20:31:13,love love cannot wait see final product,,,,Halsey,[],lovelyliability,post-release,Positive
445,https://twitter.com/vintecarneiro/status/1215732851959914496,https://twitter.com/vintecarneiro,2020-01-10 20:31:13,take screenshots mv hahahaha,,,,Halsey,[],vintecarneiro,post-release,Neutral
446,https://twitter.com/winterVitae/status/1215732859773865984,https://twitter.com/winterVitae,2020-01-10 20:31:15,thank hard precious work love much,,,,Halsey,[],winterVitae,post-release,Positive
447,https://twitter.com/sykeszbae/status/1215732864081440769,https://twitter.com/sykeszbae,2020-01-10 20:31:16,cannot stop listening,,,,Halsey,[],sykeszbae,post-release,Positive
448,https://twitter.com/halseyfanforeva/status/1215732890459181056,https://twitter.com/halseyfanforeva,2020-01-10 20:31:22,congratulations sad peaked itunes us unbelievably proud bb,,,,Halsey,['#4'],halseyfanforeva,post-release,Positive
449,https://twitter.com/hoplesssophia/status/1215732893172944897,https://twitter.com/hoplesssophia,2020-01-10 20:31:23,good bby,,,,Halsey,[],hoplesssophia,post-release,Positive
450,https://twitter.com/Tainara_mach/status/1215732918183698433,https://twitter.com/Tainara_mach,2020-01-10 20:31:29,talented,,,,Halsey,[],Tainara_mach,post-release,Positive
451,https://twitter.com/verysfirstnight/status/1215732938282803202,https://twitter.com/verysfirstnight,2020-01-10 20:31:34,good snapped yeehaw,,,,Halsey,[],verysfirstnight,post-release,Positive
452,https://twitter.com/BrightGowon/status/1215732957547200512,https://twitter.com/BrightGowon,2020-01-10 20:31:38,already listened dope,,,,Halsey,[],BrightGowon,post-release,Neutral
453,https://twitter.com/whysfool/status/1215741590498684928,https://twitter.com/whysfool,2020-01-10 21:5:57,yees cannot waitt,,,,Halsey,[],whysfool,post-release,Neutral
454,https://twitter.com/taevinil/status/1215741599667433472,https://twitter.com/taevinil,2020-01-10 21:5:59,simply iconic,,,,Halsey,[],taevinil,post-release,Neutral
455,https://twitter.com/hopzless/status/1215741829498441730,https://twitter.com/hopzless,2020-01-10 21:6:54,repeat right cannot stop,,,,Halsey,[],hopzless,post-release,Positive
456,https://twitter.com/hopzless/status/1215741976554942465,https://twitter.com/hopzless,2020-01-10 21:7:29,excited manic album literally iconic cannot wait,,,,Halsey,[],hopzless,post-release,Positive
457,https://twitter.com/angxIaxox/status/1215742248886902784,https://twitter.com/angxIaxox,2020-01-10 21:8:34,sis went,,,,Halsey,[],angxIaxox,post-release,Neutral
458,https://twitter.com/kaellechris/status/1215742461387120640,https://twitter.com/kaellechris,2020-01-10 21:9:24,eu te amo,,,,Halsey,[],kaellechris,post-release,Neutral
459,https://twitter.com/013fairie/status/1215742696637321216,https://twitter.com/013fairie,2020-01-10 21:10:20,omg cannot believe week left wtf,,,,Halsey,[],013fairie,post-release,Negative
460,https://twitter.com/013fairie/status/1215742731907149824,https://twitter.com/013fairie,2020-01-10 21:10:29,cannot wait manic,,,,Halsey,[],013fairie,post-release,Neutral
461,https://twitter.com/013fairie/status/1215742731907149824,https://twitter.com/013fairie,2020-01-10 21:10:29,cannot wait manic,,,,Halsey,[],013fairie,post-release,Neutral
462,https://twitter.com/FilthysReally/status/1215781485820698625,https://twitter.com/FilthysReally,2020-01-10 23:44:29,waiting,,,,Halsey,[],FilthysReally,post-release,Neutral
463,https://twitter.com/lndzcares4u2/status/1215783106340368384,https://twitter.com/lndzcares4u2,2020-01-10 23:50:55,love stuff upbeat songs album,,,,Halsey,[],lndzcares4u2,post-release,Positive
464,https://twitter.com/hashlsey/status/1215784240568205312,https://twitter.com/hashlsey,2020-01-10 23:55:25,one week omg,,,,Halsey,[],hashlsey,post-release,Neutral
465,https://twitter.com/miilt_/status/1215784512082173953,https://twitter.com/miilt_,2020-01-10 23:56:30,reaction video japan url halsey youshouldbesad,,,,Halsey,"['#halsey', '#youshouldbesad']",miilt_,post-release,Neutral
466,https://twitter.com/ARMANIVITAL/status/1215786075416694784,https://twitter.com/ARMANIVITAL,2020-01-11 0:2:43,carrie underwood found quivering,,,,Halsey,[],ARMANIVITAL,post-release,Neutral
467,https://twitter.com/Taylorta84/status/1215786999891800070,https://twitter.com/Taylorta84,2020-01-11 0:6:23,absolutely love,,,,Halsey,[],Taylorta84,post-release,Positive
468,https://twitter.com/EternalRose85/status/1215788371919941633,https://twitter.com/EternalRose85,2020-01-11 0:11:50,say goddess,,,,Halsey,[],EternalRose85,post-release,Neutral
