,Tweet_Website,Author_Web_Page_URL,Tweet_Time,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Artist,hashtags,users,Sentiment
1485,https://twitter.com/hopzless/status/1215741829498441730,https://twitter.com/hopzless,2020-01-10 21:6:54,repeat right cannot stop,0,0,0,Halsey,[],hopzless,Positive
1486,https://twitter.com/thekillers/status/1296825571561705474/retweets,https://twitter.com/thekillers,2020-08-21 15:4:44,imploding mirage listen url,0,0,0,The Killers,[],thekillers,Neutral
1487,https://twitter.com/Tendraftsdeep/status/1296836361249595393,https://twitter.com/Tendraftsdeep,2020-08-21 15:47:37,great album arguably best years,0,0,0,The Killers,[],Tendraftsdeep,Positive
1488,https://twitter.com/implodedromance/status/1296825660250509319,https://twitter.com/implodedromance,2020-08-21 15:5:5,legends,0,0,0,The Killers,[],implodedromance,Neutral
1489,https://twitter.com/debrabrown_/status/1296825718450663425,https://twitter.com/debrabrown_,2020-08-21 15:5:19,arrived today,0,0,4,The Killers,[],debrabrown_,Neutral
1490,https://twitter.com/thecrestedrose/status/1296825832728600582,https://twitter.com/thecrestedrose,2020-08-21 15:5:47,album year,0,0,0,The Killers,[],thecrestedrose,Neutral
1491,https://twitter.com/thecrestedrose/status/1296825887854338048,https://twitter.com/thecrestedrose,2020-08-21 15:6:0,best since sam town,0,0,1,The Killers,[],thecrestedrose,Positive
1492,https://twitter.com/proseccopunch/status/1296825904224641026,https://twitter.com/proseccopunch,2020-08-21 15:6:4,congratulations new album really really good stuff bangers,0,0,0,The Killers,[],proseccopunch,Positive
1493,https://twitter.com/JaredClarksonPR/status/1296825985199988738,https://twitter.com/JaredClarksonPR,2020-08-21 15:6:23,killers dropping implodingthemirage,0,0,0,The Killers,['#implodingthemirage'],JaredClarksonPR,Negative
1494,https://twitter.com/dickless99boy/status/1296825995123712001,https://twitter.com/dickless99boy,2020-08-21 15:6:25,grammys go,0,0,0,The Killers,[],dickless99boy,Neutral
1495,https://twitter.com/saracal94670866/status/1296826011594760193,https://twitter.com/saracal94670866,2020-08-21 15:6:29,fantastic listening day love album version blowback even acoustic version cbs think possible,0,0,0,The Killers,[],saracal94670866,Positive
1496,https://twitter.com/tkillersmusic/status/1296826134223622145,https://twitter.com/tkillersmusic,2020-08-21 15:6:58,anthem anthem,0,0,0,The Killers,[],tkillersmusic,Neutral
1497,https://twitter.com/thecrestedrose/status/1296826162954600450,https://twitter.com/thecrestedrose,2020-08-21 15:7:5,best decade,0,0,2,The Killers,[],thecrestedrose,Positive
1498,https://twitter.com/flowersrbrandon/status/1296826189471002627,https://twitter.com/flowersrbrandon,2020-08-21 15:7:12,yes indeed,0,0,0,The Killers,[],flowersrbrandon,Positive
1499,https://twitter.com/killershistory/status/1296826232739377157,https://twitter.com/killershistory,2020-08-21 15:7:22,yeah alright spectacular beautiful astounding staggering breathtaking remarkable outstanding,0,0,0,The Killers,[],killershistory,Positive
1500,https://twitter.com/melinaaesquivel/status/1296825619548983297,https://twitter.com/melinaaesquivel,2020-08-21 15:4:56,los amo,0,0,0,The Killers,[],melinaaesquivel,Neutral
1501,https://twitter.com/Wertz53/status/1296825627757117447,https://twitter.com/Wertz53,2020-08-21 15:4:58,masterpiece,0,0,0,The Killers,[],Wertz53,Positive
1502,https://twitter.com/NoahWeygandt/status/1296825657457086465,https://twitter.com/NoahWeygandt,2020-08-21 15:5:5,pretty good,0,0,0,The Killers,[],NoahWeygandt,Positive
1503,https://twitter.com/adritrevinog/status/1296825662217519106,https://twitter.com/adritrevinog,2020-08-21 15:5:6,epic,0,0,0,The Killers,[],adritrevinog,Neutral
1504,https://twitter.com/ariaLiverpal/status/1296825688905973763,https://twitter.com/ariaLiverpal,2020-08-21 15:5:12,est maravilhoso,0,0,0,The Killers,[],ariaLiverpal,Neutral
1505,https://twitter.com/nikki_jay/status/1296825691850170368,https://twitter.com/nikki_jay,2020-08-21 15:5:13,absolutely love,0,0,0,The Killers,[],nikki_jay,Positive
1506,https://twitter.com/VegasDubNation/status/1296825740109864960,https://twitter.com/VegasDubNation,2020-08-21 15:5:24,yes waited long thanks boys,0,0,0,The Killers,[],VegasDubNation,Positive
1507,https://twitter.com/promiserendpty/status/1296826435580178433,https://twitter.com/promiserendpty,2020-08-21 15:8:10,amazing,0,0,0,The Killers,[],promiserendpty,Positive
1508,https://twitter.com/kbrowneee/status/1296826630900535296,https://twitter.com/kbrowneee,2020-08-21 15:8:57,love much thank giving us another amazing album,0,0,0,The Killers,[],kbrowneee,Positive
1509,https://twitter.com/OCayoPereira/status/1296826654791217152,https://twitter.com/OCayoPereira,2020-08-21 15:9:3,love guys,0,0,0,The Killers,[],OCayoPereira,Positive
1510,https://twitter.com/tk2020br/status/1296826671862026243,https://twitter.com/tk2020br,2020-08-21 15:9:7,beyond words record amazing sour taste brought ww best comeback ever different hot fuss sam town fresh thank much please bring dave back,0,0,1,The Killers,[],tk2020br,Positive
